timestamp,event,human,role,sessionId,detail,path
2026-07-02T22:37:29.020Z,login,naoki,admin,21e6c45c-6b8b-4993-8c92-209298f1446a,sessionVersion=1,/admin/machine-qr.html
2026-07-02T22:37:54.484Z,login,wakatsuki,worker,6d7ab845-45d4-4b3b-887c-b1402fb43e4b,sessionVersion=1,/index.html
2026-07-02T22:38:11.667Z,logout,wakatsuki,worker,6d7ab845-45d4-4b3b-887c-b1402fb43e4b,manual,/field/tillage/index.html
2026-07-02T22:38:31.945Z,login,wakatsuki,worker,7adb5720-28cf-48cf-91e7-b817107b9fe7,sessionVersion=1,/index.html
2026-07-02T22:48:21.204Z,login,naoki,admin,4d380253-217b-49ac-8b1e-5aba7c9d14c1,sessionVersion=1,/
2026-07-02T22:49:35.251Z,login,naoki,admin,453ec7bb-2170-46a4-9859-059adbfc5060,sessionVersion=1,/
2026-07-02T22:52:39.756Z,login,naoki,admin,2e6fd25b-b18a-4d02-bf7f-efa7512ae11b,sessionVersion=1,/
2026-07-02T22:56:16.267Z,login,naoki,admin,a859fc26-e3ba-4256-9659-2e1b96b9fe10,sessionVersion=1,/
2026-07-02T22:57:55.816Z,login,naoki,admin,2b70812b-9c8c-4a5d-91e5-e4c3a6f2a344,sessionVersion=1,/
2026-07-02T22:58:00.701Z,login,naoki,admin,9014b671-d6c9-42c0-be7c-d0cef2158fb9,sessionVersion=1,/
2026-07-02T23:02:38.605Z,login,naoki,admin,bbfba388-c0f2-4d6c-8156-f3fad309a01e,sessionVersion=1,/
2026-07-02T23:28:01.409Z,login,naoki,admin,9bacfe37-a8a8-44e3-83a6-b6195d0c0e98,sessionVersion=1,/
2026-07-02T23:46:55.660Z,login,naoki,admin,ed1085bc-62eb-481f-9fca-e9d70ccedc50,sessionVersion=1,/
2026-07-03T00:52:13.457Z,login,naoki,admin,8a515de5-6532-4997-a89b-d4c2e3c6544d,sessionVersion=1,/
2026-07-03T00:52:15.006Z,login,naoki,admin,84bd670f-2b3a-4a9c-9af7-817a365bc6db,sessionVersion=1,/
2026-07-03T00:52:20.596Z,login,naoki,admin,d1121ecc-353a-42fd-977a-f311799383ae,sessionVersion=1,/
2026-07-03T01:20:50.944Z,login,naoki,admin,b5432e85-412d-4509-be2a-b6c6e41c5113,sessionVersion=1,/
2026-07-03T01:56:41.776Z,login,naoki,admin,7662d7c5-b839-4d9f-b6a4-7fc4d21af1ee,sessionVersion=1,/
2026-07-03T01:56:49.457Z,login,naoki,admin,cc6772f1-642f-48f5-9b7e-9639332298eb,sessionVersion=1,/
2026-07-03T02:50:00.120Z,login,naoki,admin,fb0871d8-3121-4840-9939-f551f38165ed,sessionVersion=1,/
2026-07-03T03:43:51.465Z,login,naoki,admin,a4252783-9f1a-43cd-818d-291e5514c200,sessionVersion=1,/
2026-07-03T05:19:48.566Z,login,naoki,admin,323d7050-ee5e-475a-8124-0f8ae8bb7dee,sessionVersion=1,/
2026-07-03T05:21:19.469Z,login,naoki,admin,dde2252e-ee19-4eca-af22-371f07637cb3,sessionVersion=1,/
2026-07-03T05:30:52.406Z,login,naoki,admin,a64acda3-041e-40c8-a9f3-fc8753dd43bd,sessionVersion=1,/
2026-07-03T05:42:08.443Z,login,naoki,admin,02f46eae-d96d-41b0-9301-edc3eb7abc25,sessionVersion=1,/
2026-07-03T05:42:16.736Z,login,naoki,admin,2ded9087-7244-439e-a2ce-605236a99d81,sessionVersion=1,/
2026-07-03T06:52:09.731Z,login,naoki,admin,8480a17c-4362-41b1-86d4-a559f536ab0c,sessionVersion=1,/
2026-07-03T07:17:15.791Z,login,naoki,admin,27a4d2c2-4280-4731-9c0f-2afba914673f,sessionVersion=1,/
2026-07-03T07:21:13.999Z,login,naoki,admin,b691ffc8-188b-436e-bfdf-32d62c23f835,sessionVersion=1,/
2026-07-03T07:23:54.331Z,login,naoki,admin,a23e8000-0a07-4ece-8e60-199c26d8be61,sessionVersion=1,/
2026-07-03T08:24:36.520Z,login,naoki,admin,514ce569-27de-4061-a9f2-8ed01cc690dc,sessionVersion=1,/
2026-07-03T09:50:22.148Z,login,naoki,admin,80763c0a-d702-4c4c-a383-25a5c51e666f,sessionVersion=1,/
2026-07-03T10:16:05.852Z,login,naoki,admin,1275088c-27a2-4dd3-abb1-41ff49fe8609,sessionVersion=1,/
2026-07-03T10:17:13.803Z,login,naoki,admin,1c76593e-f403-49e4-9bc5-ff66f9370dca,sessionVersion=1,/
2026-07-03T10:17:26.064Z,login,naoki,admin,7cf1335f-591f-4db1-92a6-3ea685ac64ce,sessionVersion=1,/
2026-07-03T10:20:26.813Z,login,naoki,admin,62c3c9b6-c568-4cde-bc5d-17fee373fb8c,sessionVersion=1,/
2026-07-03T10:24:20.690Z,login,naoki,admin,caabd2aa-1818-43ef-88dd-d08978bf553f,sessionVersion=1,/
2026-07-03T11:06:43.014Z,login,naoki,admin,6e33894f-c29b-4084-b6e0-8e01df173a51,sessionVersion=1,/
2026-07-03T12:01:33.259Z,login,naoki,admin,e296d730-d8b1-4d35-bffd-110d87c216a1,sessionVersion=1,/
2026-07-03T12:02:11.645Z,login,naoki,admin,1f69d7aa-736c-4b65-b81c-ae9cee5fa7ae,sessionVersion=1,/
2026-07-03T12:02:30.746Z,login,naoki,admin,28421eb6-860f-4e33-9b00-632dd6b93f0d,sessionVersion=1,/
2026-07-03T20:49:41.865Z,login,naoki,admin,9dfd1e46-fcd4-454e-be61-882aad42f719,sessionVersion=1,/index.html
2026-07-03T20:49:49.881Z,login,naoki,admin,27486323-59a5-4f79-a700-5859631d58f2,sessionVersion=1,/admin/machine-qr.html
2026-07-03T20:49:57.594Z,login,naoki,admin,6bd2a485-751a-4ff9-9f79-f86889b401ef,sessionVersion=1,/index.html
2026-07-03T20:50:10.551Z,login,naoki,admin,b2d53a25-edaa-45b1-b895-b17fa982c301,sessionVersion=1,/index.html
2026-07-03T21:11:52.054Z,login,naoki,admin,b749fd5b-95ba-44ba-bf78-7a631a0a1e7d,sessionVersion=1,/
2026-07-03T21:43:47.131Z,login,naoki,admin,ec2589fd-4f0b-4ef4-be42-71bb977c6fb1,sessionVersion=1,/
2026-07-03T22:19:31.782Z,login,naoki,admin,f3981689-8958-42e3-8ba0-71b56d1659d0,sessionVersion=1,/
2026-07-03T22:36:00.529Z,login,naoki,admin,6eafe0c8-90eb-400d-b6cb-7328839e72f4,sessionVersion=1,/
2026-07-03T22:48:03.657Z,login,naoki,admin,cd3ea9f1-e0fa-4574-a268-7fb31ea3bb44,sessionVersion=1,/
2026-07-03T22:49:29.567Z,login,naoki,admin,5ae55738-7974-4cca-a582-7b7f31c69f56,sessionVersion=1,/
2026-07-03T22:52:02.742Z,login,naoki,admin,f9f2ec6e-29e9-43ec-8448-c654d3c34527,sessionVersion=1,/
2026-07-03T22:52:08.251Z,login,naoki,admin,fc6d51bf-78c4-4bdb-868a-65cbfe48e103,sessionVersion=1,/
2026-07-03T22:56:33.180Z,login,naoki,admin,0c59f2db-b312-4491-a036-949f7dbeb1c4,sessionVersion=1,/
2026-07-03T23:00:28.867Z,login,naoki,admin,6b39f5e1-c5d0-4257-9ab5-6641b06d0395,sessionVersion=1,/
2026-07-03T23:00:36.833Z,login,naoki,admin,3a4159bf-3646-4964-b65c-c40a7de46fd0,sessionVersion=1,/
2026-07-03T23:01:24.680Z,login,naoki,admin,8869c91f-4a3e-4f14-881e-91ddc937210a,sessionVersion=1,/
2026-07-03T23:04:09.846Z,login,naoki,admin,ff4f7d44-ea14-43c6-abe6-1423ff0e0745,sessionVersion=1,/
2026-07-03T23:58:21.556Z,expired,naoki,admin,2ded9087-7244-439e-a2ce-605236a99d81,issuedAt=1783057336635,/diary/index.html
2026-07-03T23:58:48.900Z,login,naoki,admin,af97fe24-7984-43a1-8f19-9157d9c905f6,sessionVersion=1,/
2026-07-04T06:32:10.953Z,login,naoki,admin,663c0386-8dc4-4a09-bed6-d56d98b3101e,sessionVersion=1,/
2026-07-04T06:38:38.935Z,login,naoki,admin,d741fb46-37c4-40fb-8545-70b23e48f594,sessionVersion=1,/
2026-07-04T06:39:28.892Z,login,naoki,admin,5c8b8906-5eae-4f65-a6ea-af9960f84b2f,sessionVersion=1,/
2026-07-04T06:42:45.940Z,login,naoki,admin,62c8aaae-6ca7-448d-a191-b151d2b8cfb8,sessionVersion=1,/
2026-07-04T06:42:54.634Z,login,naoki,admin,a96c56b5-fb4e-49a0-9377-336b9c315320,sessionVersion=1,/
2026-07-04T07:51:33.739Z,login,naoki,admin,e75e5ae2-2875-4d7d-8352-6c45cf0773fa,sessionVersion=1,/
2026-07-04T07:55:42.254Z,login,naoki,admin,39589534-38f6-40c9-acbf-a2ec365c5188,sessionVersion=1,/
2026-07-04T07:55:48.268Z,login,naoki,admin,c81429d2-2edc-405b-b7dd-ebbd95d7dd5b,sessionVersion=1,/
2026-07-04T08:00:39.366Z,login,naoki,admin,40137190-1fc4-4e6f-8ece-d7f5df5750e0,sessionVersion=1,/
2026-07-04T08:00:52.199Z,login,naoki,admin,a2cdbb64-508a-4f9a-9fda-de3ae273a27f,sessionVersion=1,/
2026-07-04T08:02:28.134Z,login,naoki,admin,626fd99f-7e00-4405-a165-01349e317bea,sessionVersion=1,/
2026-07-04T08:04:28.357Z,login,naoki,admin,1f8e01c1-cfe9-4403-a686-c60cf3ea81fe,sessionVersion=1,/
2026-07-04T08:04:59.967Z,login,naoki,admin,75610bd9-da97-48bb-90e1-ec661bfd977a,sessionVersion=1,/
2026-07-04T08:12:07.432Z,login,naoki,admin,a7baf79e-3b3d-484a-99df-809008ee81a8,sessionVersion=1,/
2026-07-04T08:14:40.545Z,login,naoki,admin,5de24247-8623-4b6b-84e0-15ef9802a3f1,sessionVersion=1,/
2026-07-04T08:18:34.399Z,login,naoki,admin,a9f63035-6cac-437a-8db1-4be781d93082,sessionVersion=1,/
2026-07-04T08:24:24.042Z,login,naoki,admin,065ce83a-722a-4afe-972c-4565338d84fa,sessionVersion=1,/
2026-07-04T08:43:59.696Z,login,naoki,admin,26195594-94c7-48e9-9a86-fa5c772200a4,sessionVersion=1,/
2026-07-04T09:08:41.443Z,expired,naoki,admin,af97fe24-7984-43a1-8f19-9157d9c905f6,issuedAt=1783123128823,/schedule/monthly-work/index.html
2026-07-04T09:08:44.941Z,login,naoki,admin,a9eb5709-9167-4391-8c46-9c182284561c,sessionVersion=1,/index.html
2026-07-04T09:12:17.095Z,login,naoki,admin,9b4ec4a9-398b-4f7c-b69b-16ad90c640c9,sessionVersion=1,/
2026-07-04T09:16:27.147Z,login,naoki,admin,77c64112-b80e-4135-8510-2b894496e305,sessionVersion=1,/
2026-07-04T13:06:54.454Z,login,naoki,admin,58f8053d-7ec4-4d74-a16d-450299df3632,sessionVersion=1,/
2026-07-04T13:07:05.716Z,login,naoki,admin,4d4beb27-575c-4afa-9186-7b8c1250b85f,sessionVersion=1,/
2026-07-04T13:36:41.256Z,login,naoki,admin,b8525a9f-fdfc-429b-b7c8-fb974de29d55,sessionVersion=1,/
2026-07-04T13:37:42.553Z,login,naoki,admin,12686c51-3d57-4a0a-995f-8a22367a8207,sessionVersion=1,/
2026-07-04T13:39:16.683Z,login,naoki,admin,2226ed9d-07e4-4d7e-b431-6846d5b8547d,sessionVersion=1,/admin/machine-qr.html
2026-07-04T13:48:58.739Z,login,naoki,admin,8b57b8c7-b1ae-43d4-88ff-d9db7a678a56,sessionVersion=1,/
2026-07-04T14:10:46.995Z,login,naoki,admin,2fda52a6-9265-4348-bfcf-238b83a92f7b,sessionVersion=1,/
2026-07-04T23:26:50.356Z,login,naoki,admin,c07aa146-5437-4751-89c5-d9410bb5ab63,sessionVersion=1,/index.html
2026-07-04T23:27:01.718Z,login,naoki,admin,624ac235-e645-4116-8a71-fd758d9c5e30,sessionVersion=1,/
2026-07-04T23:33:25.945Z,login,naoki,admin,47c9e021-e159-4788-a13e-deb6351fb4a7,sessionVersion=1,/
2026-07-05T00:14:45.597Z,login,sakiko,family,3ea64ba1-2f94-4575-bae6-3b44879906b2,sessionVersion=1,/index.html
2026-07-05T00:14:55.007Z,login,sakiko,family,a1fabb70-c199-48cf-b2ca-7117fc2ebbe8,sessionVersion=1,/
2026-07-05T00:24:51.564Z,login,sakiko,family,a615e880-d244-4303-ac2a-2a43bfd72a7d,sessionVersion=1,/
2026-07-05T00:25:43.852Z,logout,sakiko,family,a615e880-d244-4303-ac2a-2a43bfd72a7d,manual,/field/tillage/list.html
2026-07-05T00:27:05.745Z,login,sakiko,family,b9a8bf27-55bf-4700-9e57-18121f8d3161,sessionVersion=1,/
2026-07-05T00:28:03.406Z,login,sakiko,family,9d3884fc-aa1c-4534-a66b-1d298f685a0f,sessionVersion=1,/
2026-07-05T00:28:06.991Z,logout,sakiko,family,9d3884fc-aa1c-4534-a66b-1d298f685a0f,manual,/list/list.html
2026-07-05T00:29:12.014Z,login,sakiko,family,a6e0225b-98c2-4bb1-a555-47c80f9527a1,sessionVersion=1,/
2026-07-05T01:17:26.297Z,login,naoki,admin,2ec2db44-9333-4099-9ff5-1e96cca64834,sessionVersion=1,/
2026-07-05T02:23:15.234Z,login,naoki,admin,ee041948-8ed9-47bd-920e-55df6ce89d50,sessionVersion=1,/
2026-07-05T02:23:22.557Z,login,naoki,admin,e2ff22f1-b28b-421d-9d90-4403ca3a7aab,sessionVersion=1,/
2026-07-05T02:31:27.962Z,login,naoki,admin,5029a9d1-4909-485b-9b2d-a7c18fedad07,sessionVersion=1,/
2026-07-05T02:31:35.154Z,login,naoki,admin,9aa3a9f9-32cd-414d-a3f0-f4950c1800c2,sessionVersion=1,/
2026-07-05T02:31:58.300Z,login,naoki,admin,f3272325-d426-4299-8061-f7a3926ed794,sessionVersion=1,/
2026-07-05T02:33:30.868Z,login,naoki,admin,3471f26a-f7b3-4a2b-979f-0232de4d1ba6,sessionVersion=1,/
2026-07-05T02:33:42.585Z,login,naoki,admin,8173fb1f-84af-4a15-a121-7298b7cdc46c,sessionVersion=1,/
2026-07-05T02:35:28.331Z,login,wakatsuki,worker,e2175346-bf53-4014-8c66-9565937fcc46,sessionVersion=1,/
2026-07-05T02:36:00.569Z,logout,wakatsuki,worker,e2175346-bf53-4014-8c66-9565937fcc46,manual,/hand-weeding/index.html
2026-07-05T02:36:05.282Z,login,naoki,admin,7df8d6cd-ce81-472c-8764-c6efcf6aac16,sessionVersion=1,/index.html
2026-07-05T02:36:44.531Z,logout,naoki,admin,7df8d6cd-ce81-472c-8764-c6efcf6aac16,manual,/hand-weeding/index.html
2026-07-05T02:36:52.163Z,login,naoki,admin,0d4cc306-b641-44c6-8e59-f3e8ef3b913d,sessionVersion=1,/index.html
2026-07-05T02:36:59.127Z,login,naoki,admin,33bf798f-905d-4cf8-8db9-c9c0bc21a497,sessionVersion=1,/
2026-07-05T02:55:58.379Z,logout,naoki,admin,8173fb1f-84af-4a15-a121-7298b7cdc46c,manual,/
2026-07-05T02:56:03.465Z,login,naoki,admin,a45106d3-d875-4259-84a2-940f9c621206,sessionVersion=1,/index.html
2026-07-05T04:24:49.003Z,stepup-required,naoki,admin,a45106d3-d875-4259-84a2-940f9c621206,path=/admin/index.html,/admin/index.html
2026-07-05T04:24:56.444Z,login,naoki,admin,188ab4c2-290f-4324-8c40-8a3ae0453536,sessionVersion=1,/index.html
2026-07-05T04:56:57.265Z,login,naoki,admin,2203bed5-7e17-4b74-8ed0-de44aa7f6a01,sessionVersion=1,/index.html
2026-07-05T05:47:41.390Z,stepup-required,naoki,admin,2203bed5-7e17-4b74-8ed0-de44aa7f6a01,path=/admin/edit-json/index.html,/admin/edit-json/index.html
2026-07-05T05:47:49.850Z,login,naoki,admin,b03ca0ba-8faa-489c-817f-88edd0e6ea79,sessionVersion=1,/index.html
2026-07-05T06:30:35.916Z,stepup-required,naoki,admin,b03ca0ba-8faa-489c-817f-88edd0e6ea79,path=/admin/edit-json/index.html,/admin/edit-json/index.html
2026-07-05T06:30:42.581Z,login,naoki,admin,b755f9f0-4c1c-48fe-8a46-f36e5bb8e2d9,sessionVersion=1,/index.html
2026-07-05T07:09:57.249Z,expired,naoki,admin,33bf798f-905d-4cf8-8db9-c9c0bc21a497,idle-timeout:3600000,/
2026-07-05T07:10:08.605Z,login,naoki,admin,8a826f84-10c9-4374-95ef-eedf01e341f2,sessionVersion=1,/
2026-07-05T07:10:09.232Z,login,naoki,admin,1c6f16eb-1bfb-4b50-a98f-952652753691,sessionVersion=1,/
2026-07-05T07:11:10.206Z,login,naoki,admin,4be4fa76-cd31-4fdc-a072-737509699fc0,sessionVersion=1,/admin/machine-qr.html
2026-07-05T07:14:28.420Z,login,masahiko,family,fba3fa23-d18e-48e4-969d-3c552eb3715a,sessionVersion=1,/index.html
2026-07-05T07:27:50.817Z,logout,masahiko,family,fba3fa23-d18e-48e4-969d-3c552eb3715a,manual,/
2026-07-05T07:44:53.061Z,stepup-required,naoki,admin,4be4fa76-cd31-4fdc-a072-737509699fc0,path=/admin/index.html,/admin/index.html
2026-07-05T07:45:08.096Z,login,naoki,admin,ece7af12-c773-48a0-9f0f-5373644e5466,sessionVersion=1,/index.html
2026-07-05T07:45:13.484Z,login,naoki,admin,6938c36d-c3cf-444a-ae5c-3a3468875e99,sessionVersion=1,/admin/machine-qr.html
2026-07-05T07:46:06.346Z,expired,sakiko,family,a6e0225b-98c2-4bb1-a555-47c80f9527a1,idle-timeout:3600000,/diary/index.html
2026-07-05T07:46:16.984Z,login,sakiko,family,119d3169-16ab-4d33-a509-a8de9aa918ba,sessionVersion=1,/index.html
2026-07-05T07:46:22.188Z,logout,sakiko,family,119d3169-16ab-4d33-a509-a8de9aa918ba,manual,/diary/index.html
2026-07-05T07:46:51.287Z,login,sakiko,family,459ca217-01e7-42c9-85bf-4a0860012e92,sessionVersion=1,/index.html
2026-07-05T07:48:53.622Z,logout,sakiko,family,459ca217-01e7-42c9-85bf-4a0860012e92,manual,/diary/index.html
2026-07-05T07:49:50.569Z,login,sakiko,family,c1deb83f-ca58-40fc-afd7-95f648e65808,sessionVersion=1,/index.html
2026-07-05T07:50:44.532Z,logout,sakiko,family,c1deb83f-ca58-40fc-afd7-95f648e65808,manual,/map/index.html
2026-07-05T07:55:12.029Z,login,masahiko,family,66683f08-c070-491f-a4ec-90e8349a9e21,sessionVersion=1,/index.html
2026-07-05T07:59:25.872Z,login,sakiko,family,afe7973c-1cdf-4d20-bba4-070e5f7a81fd,sessionVersion=1,/index.html
2026-07-05T08:05:08.674Z,logout,sakiko,family,afe7973c-1cdf-4d20-bba4-070e5f7a81fd,manual,/
2026-07-05T11:20:52.787Z,expired,naoki,admin,6938c36d-c3cf-444a-ae5c-3a3468875e99,idle-timeout:3600000,/
2026-07-05T11:20:59.470Z,login,naoki,admin,e0c40b4d-cae3-4d27-b950-78e94116e0d9,sessionVersion=1,/index.html
2026-07-05T13:05:44.515Z,login,naoki,admin,6354e93d-8497-4fa3-bc2c-0d21766cb279,sessionVersion=1,/
2026-07-05T13:05:46.246Z,login,naoki,admin,b66c32e3-1444-4ee5-a771-b4dcfaa74199,sessionVersion=1,/
2026-07-05T13:05:58.646Z,login,naoki,admin,ce6d495f-7e72-4aef-a6b5-a710b4ce35fe,sessionVersion=1,/admin/machine-qr.html
